Rank	Book ID	Title	Author	Result Score
1	17993	Young Peoples' History of the War with Spain	Holmes, Prescott	0.3333333333333333
2	15202	Young Folks' Treasury, Volume 2 (of 12)
Myths and Legendary Heroes	nan	0.3333333333333333
3	15884	Young Folks' Library, Volume XI (of 20)
Wonders of Earth, Sea and Sky	nan	0.3333333333333333
4	15560	Young Folks Treasury, Volume 3 (of 12)
Classic Tales and Old-Fashioned Stories	nan	0.3333333333333333
5	20432	Young Captain Jack; Or, The Son of a Soldier	Alger, Horatio, Jr.	0.3333333333333333
6	20432	Young Captain Jack; Or, The Son of a Soldier	Stratemeyer, Edward	0.3333333333333333
7	23388	Wrecked but not Ruined	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
8	23758	Work and Win; Or, Noddy Newman on a Cruise	Optic, Oliver	0.3333333333333333
9	15488	Woman's Life in Colonial Days	Holliday, Carl	0.3333333333333333
10	6808	Woman on the American Frontier
A Valuable and Authentic History of the Heroism, Adventures, Privations, Captivities, Trials, and Noble Lives and Deaths of the "Pioneer Mothers of the Republic"	Fowler, William Worthington	0.3333333333333333
11	8642	Woman in the Nineteenth Century
and Kindred Papers Relating to the Sphere, Condition and Duties, of Woman.	Fuller, Margaret	0.3333333333333333
12	17766	With Wolfe in Canada: The Winning of a Continent	Henty, G. A. (George Alfred)	0.3333333333333333
13	18868	With Kitchener in the Soudan: A Story of Atbara and Omdurman	Henty, G. A. (George Alfred)	0.3333333333333333
14	7334	With Buller in Natal, Or, a Born Leader	Henty, G. A. (George Alfred)	0.3333333333333333
15	12308	Winning His Spurs: A Tale of the Crusades	Henty, G. A. (George Alfred)	0.3333333333333333
16	9986	Wild Kitty	Meade, L. T.	0.3333333333333333
17	4698	Whitefoot the Wood Mouse	Burgess, Thornton W. (Thornton Waldo)	0.3333333333333333
18	7831	When London Burned : a Story of Restoration Times and the Great Fire	Henty, G. A. (George Alfred)	0.3333333333333333
19	9482	What Sami Sings with the Birds	Spyri, Johanna	0.3333333333333333
20	8995	What Katy Did Next	Coolidge, Susan	0.3333333333333333
21	8994	What Katy Did	Coolidge, Susan	0.3333333333333333
22	18156	We and the World: A Book for Boys. Part II	Ewing, Juliana Horatia	0.3333333333333333
23	18077	We and the World: A Book for Boys. Part I	Ewing, Juliana Horatia	0.3333333333333333
24	5993	Walter Sherwood's Probation	Alger, Horatio, Jr.	0.3333333333333333
25	16686	Verses for Children, and Songs for Music	Ewing, Juliana Horatia	0.3333333333333333
26	4560	Verses	Coolidge, Susan	0.3333333333333333
27	14627	Veronica	Spyri, Johanna	0.3333333333333333
28	21708	Up in the Clouds: Balloon Voyages	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
29	21707	Ungava	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
30	5347	Understood Betsy	Fisher, Dorothy Canfield	0.3333333333333333
31	23493	Under the Waves: Diving in Deep Waters	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
32	3795	Under the Lilacs	Alcott, Louisa May	0.3333333333333333
33	19206	Under Drake's Flag: A Tale of the Spanish Main	Henty, G. A. (George Alfred)	0.3333333333333333
34	11171	Uncle Tom's Cabin, Young Folks' Edition	Stowe, Harriet Beecher	0.3333333333333333
35	14710	Uncle Titus and His Visit to the Country	Spyri, Johanna	0.3333333333333333
36	21605	Uncle Remus, his songs and his sayings	Harris, Joel Chandler	0.3333333333333333
37	2306	Uncle Remus, His Songs and His Sayings	Harris, Joel Chandler	0.3333333333333333
38	20223	Two Boys in Wyoming: A Tale of Adventure
(Northwest Series, No. 3)	Ellis, Edward Sylvester	0.3333333333333333
39	13707	Twice-told tales	Hawthorne, Nathaniel	0.3333333333333333
40	508	Twice-Told Tales	Hawthorne, Nathaniel	0.3333333333333333
41	21706	Twice Bought	Ballantyne, R. M. (Robert Michael)	0.3333333333333333
